Zipcode,Place Name,State,County,Lat,Lon,
45 17536,Kirkwood,PA,Lancaster,39.8257,-76.093,
42 11351,Flushing,NY,Queens,40.7817,-73.831,
43 79934,El Paso,TX,El Paso,31.9386,-106.407,
43 12804,Queensbury,NY,Warren,43.329,-73.681,
42 58257,Mayville,ND,Traill,47.5014,-97.317,
43 40927,Closplint,KY,Harlan,36.8713,-83.041,
52 29404,Charleston Afb,SC,Charleston,32.8982,-80.068,
43 82838,Parkman,WY,Sheridan,44.965,-107.325,
42 98382,Sequim,WA,Clallam,48.0881,-123.119,
41 18439,Lakewood,PA,Wayne,41.8171,-75.383,
45 83842,Medimont,ID,Kootenai,47.4625,-116.568,
44 45891,Van Wert,OH,Van Wert,40.8689,-84.590,
41 80248,Denver,CO,Denver,39.7392,-104.984,
46 28771,Robbinsville,NC,Graham,35.3259,-83.788,
39 4841,Rockland,ME,Knox,44.1123,-69.113,
40 50167,Minburn,IA,Dallas,41.7562,-94.01,
43 33186,Miami,FL,Miami-Dade,25.6694,-80.408,
44 45044,Middletown,OH,Butler,39.5151,-84.398,
44 93386,Bakersfield,CA,Kern,35.2944,-118.905,
47 58318,Bottineau,ND,Bottineau,48.8451,-100.432,
38 75960,Moscow,TX,Polk,30.9179,-94.854,
53 91394,Granada Hills,CA,Los Angeles,34.2647,-118.523,
39 68714,Bassett,NE,Rock,42.5763,-99.538,
47 34603,Brooksville,FL,Hernando,28.5642,-82.416,
38 6354,Moosup,CT,Windham,41.721,-71.88,
44 32658,La Crosse,FL,Alachua,29.8433,-82.404,
51 25303,South Charleston,WV,Kanawha,38.3684,-81.699,
40 40946,Green Road,KY,Knox,36.8713,-83.8,
42 84008,Bonanza,UT,Uintah,40.0211,-109.177,
48 63117,Saint Louis,MO,St. Louis,38.6295,-90.334,
43 72168,Tucker,AR,Jefferson,34.4414,-91.916,
43 64166,Kansas City,MO,Clay,39.3294,-94.519,
54 99754,Koyukuk,AK,Yukon-Koyukuk (CA),64.8803,-157.700,
44 5640,Adamant,VT,Washington,44.3575,-72.504,
58 20470,Washington,DC,District of Columbia,38.8933,-77.014,
44 81244,Rockvale,CO,Fremont,38.3697,-105.163,
45 20138,Calverton,VA,Fauquier,38.6338,-77.686,
44 2842,Middletown,RI,Newport,41.5198,-71.273,
49 28010,Barium Springs,NC,Iredell,35.7192,-80.899,
43 55705,Aurora,MN,St. Louis,47.4951,-92.241,
51 90030,Los Angeles,CA,Los Angeles,34.0522,-118.243,
42 27805,Aulander,NC,Bertie,36.1475,-77.114,
43 30024,Suwanee,GA,Gwinnett,34.0425,-84.026,
41 68445,Swanton,NE,Saline,40.3844,-97.080,
49 73666,Sweetwater,OK,Roger Mills,35.4488,-99.900,
38 56547,Glyndon,MN,Clay,46.882,-96.558,
47 94522,Concord,CA,Contra Costa,37.978,-122.031,
43 33206,Miami,FL,Miami-Dade,25.7743,-80.193,
46 22603,Winchester,VA,Frederick,39.264,-78.198,
47 90223,Compton,CA,Los Angeles,33.8958,-118.220,
46 80108,Castle Rock,CO,Douglas,39.4455,-104.85,
40 48555,Flint,MI,Genesee,43.0113,-83.710,
44 48067,Royal Oak,MI,Oakland,42.4906,-83.136,
41 78013,Comfort,TX,Kendall,29.9677,-98.90,
